skeptical, adj. 怀疑的
miniscule," adj. 草写小字的，小字的
=minuscule"
convergent, adj. 趋集于一点的，会聚性的，收敛的
uphold," v. 支撑, 赞成, 鼓励"
plausibility," n. 似有道理, 能言善辩"
inevitably, adv. 不可避免地
candid," adj. 忠实的, 率直的, 坦诚的"
peer," vi. 凝视，盯着看；窥视
vt. 封为贵族；与…同等
n. 贵族；同等的人"
canyon, n. 峡谷
dormancy, n. 休眠，冬眠，潜伏
perceptive," adj. 知觉的, 有洞察力的, 感知的"
frustration," n. 打破,挫折,顿挫
[计算机] 失败"
fertility," n. 肥沃, 丰饶, 生产力"
sperm," n. 精液, 精子
n. 与抹香鲸有关的物质(如鲸脑油)
pref. 表示“精液，精子，种子”（=spermo-,sperma-，spermi-）"
vitality," n. 活力, 生命力"
theatricality," n. 戏剧风格, 像演戏, 不自然"
nicely," adv. 漂亮地, 爽快地, 恰好地"
dysfunctional," adj. 机能失调的,功能障碍的"
Judaism," n. 犹太教, 犹太教徒, 犹太主义"
warbler," n. 莺，啭鸟, 鸣鸟, 用颤音歌唱的人"
disreputable, adj. 声名狼籍的，见不得人的，品格不端的
hesitation, n. 犹豫
urbane," adj. 温文尔雅的, 懂礼的"
ancestry," n. 祖先, 家世, 门第"
plaintive," adj. 悲哀的,哀伤的"
unionize," vt. 使……加入工会；使……成立工会
vi. 加入工会；成立工会"
denotative, adj. 指示的，外延的
serum," n. 浆液, 血清, 乳浆"
growl," n. 吠声, 不平, 咆哮声
v. 怒吠, 咆哮, 吼"
immeasurable," adj. 不可计量的, 无限的"
capability," n. 能力,才能,性能,容量"
infective," adj. 易传染的, 传染性的"
preach," vi. 传道, 宣扬
vt. 讲道, 说教"
predecessor," n. 前辈, 前任, 原有事物"
presentation," n. 陈述, 介绍, 赠与
n. [美]讲课, 报告"
jargon," n. 行话
vi. 说行话"
virtuous," adj. 有品德的, 善良的, 贞洁的"
unworthy," adj. 无价值的, 没有优点的
adj. 不值得的；不应得的"
presage," n. 预感, 预兆, 预知
v. 成为...的前兆, 预示, 预言"
dispersal," n. 散布, 传播, 分散，疏散区"
productivity," n. 生产率, 生产能力"
inaction," n. 不活动, 无为, 怠惰"
profitable," adj. 有益的, 有用的"
aristocracy," n. 贵族,贵族社会,高级知识份子"
monetary," adj. 货币的,金融的"
monotonous, adj. 单调的
wistful," adj. 渴望的, 忧思的"
trio, n. 三个一组，三重唱（奏）
permeability, n. 弥漫，渗透，渗透度
persuasive," adj. 有说服力的
n. 动机(诱因)"
convent, n. 女修道会
morale," n. 道德准则,士气,斗志"
nutrition, n. 营养
bogus," adj. 假的, 伪造的"
interweave," v. 使交织,织进,使混杂"
recycle," vt. 使再循环,再利用,再制
vi. 循环
n. 再循环"
enslave," vt. 使做奴隶, 使处于奴役的状态"
concerted," adj. 商议好的, 协定的, 一致的
动词concert的过去式和过去分词"
motivation, n. 动机
fascism, n. 法西斯主义，独裁统治
overly," adv. 过度地, 极度地"
aide," n. 助手, 副官, 侍从武官"
advocate," vt.提倡； 拥护； 鼓吹； 为…辩护
n.（辩护）律师； 提倡者； 支持者"
regimen," n. 养生法, 生活规则,训练课程，统治，制度"
entrenched," adj. (权力, 风俗等)确立的, 确定的"
impiety, n. 不敬，不恭(尤指对上帝和宗教)
hive," n. 蜂房, 蜂箱，蜂群，喧闹繁忙的场所
vi.蜂进入蜂箱，聚居
vt.使蜂入箱，储备"
implant," v. 深植,灌输,嵌入,移植
n. 移植物,植入物"
stimulant," n. 兴奋剂, 刺激物，酒精性饮料
adj. 使兴奋的, 激励的, 鼓舞的"
remit," vt. 免除,汇出,缓和,延迟
vi. 缓和,减轻,汇款
n. 影响范围"
connectivity, n. [计算机] 连通性
remorse," n. 懊悔,悔恨
n."
incorporate," vt.组成公司； 包含； 使混合； 使具体化
vi.包含； 吸收； 合并； 混合"
pitfall," n. 陷阱,诱惑,阴谋"
retard," n. 阻止,迟延,减速
vt. 妨碍,迟延,拖住
vi. 受到延迟"
militarist, n. 军国主义者，军事家
replenish," vt. 补充,再装满
vi. 补充"
garrulous," adj. 饶舌的, 多嘴的, 啁啾不休的"
continuum," n. 连续,连续统,闭连集"
contour," n. 轮廓(等高线,周线,电路,概要)
vt. 画轮廓(画等高线)
adj. 显示轮廓的"
platonic," adj. 柏拉图哲学的, 柏拉图主义的, 理想的, 不切实际的"
awareness," n. 认识(了解,知道)"
coordination," n. 同等,调和"
sensitize," v. （使）敏感, （使）具有感光性"
anole, n. 变色龙，变色蜥
scoff," n. 嘲笑, 笑柄, 愚弄
v. 嘲笑, 嘲弄, 愚弄，狼吞虎咽"
gourmet," n. 美食家, 美食馆"
provincialism," n. 乡下习气,地方风格,土腔"
cubism, n. 立体主义
resurgence," n. 再起, 复活, 再现"
innocence," n. 无罪, 无知, 天真无邪"
adjacent," adj. 毗连的,邻近的,接近的"
polemical," adj. 辩论法, 辩论术, 好辩的, 挑起争端的,引起论战的"
pollination, n. 授粉
grid, n.格子，非实质的； 地图上的坐标方格； （输电线路、天然气管道等的）系统网络
divergent, adj. 分歧的
alight," vi. 落下，走下，偶然发现
adj. 燃烧的，点亮的"
unionism, n. 工会主义，联合主义，联邦主义
sulfur," n. 硫
vt. 用硫处理液化"
cater," vi. 备办食物,迎合
vt. 为(宴会等)提供餐饮服务"
altruism," n. 利他主义, 利他"
adept," adj. 熟练的, 老练的
n. 名手, 专家"
greed," n. 贪心, 贪婪"
superb, adj. 极好的
jettison," n. 投弃；投弃货物
vt. 投弃（船舶遇难时投弃货物以为减轻负载）"
lave," vt. 洗涤(沐浴,冲刷,流过)
n. 遗留物"
inequity," n. 不公平,不公正"
dismantle," vt. 拆除,剥除,分解,取消"
weasel," n. 鼬鼠, 黄鼠狼，狡猾的人
vi. 逃避，推诿"
crosscut," n. 横锯(纹路交叉的,横断隔线,横导坑)
vt 横切"
dissect," v. 解剖, 切细，仔细研究，详细分析"
prodigality, n. 浪费，挥霍，丰富，慷慨
generalist, n. 通才，多面手
ingenuous," adj. 坦白的, 正直的, 天真的"
familiarity," n. 亲密, 熟悉, 精通，不拘礼节"
predominance," n. 卓越, 优势, 控制"
thermodynamics, n. 热力学
confidentiality," n. 秘而不宣, 保密"
predicate," n. 述语, 谓语
adj. 述语的, 谓语的
v. 断定为, 意味"
crystalline," adj. 水晶(般)的, 水晶做的，透明的"
objectivity," n. 客观, 客观性"
limitless," adj. 无限的, 界限的"
plea," n. 请求,恳求
v. 借口,恳求,请求"
dominate," v. 支配, 占优势，俯视"
loathe," v. 厌恶, 憎恶"
housework, n. 家务劳动
victimless, adj. (犯罪行为等)无受害人的，不侵害他人的
alliance," n. 结盟,联盟,联姻
Alliance [地理名词]"
outmoded," adj. 过时的
动词outmode的过去式和过去分词形式"
fiber," n. 纤维(物质),力量"
retinal, adj. 视网膜的
diffident," adj. 无自信的, 客客气气的, 羞怯的"
endogenous, adj. 内成的
subdue," v. 使服从, 压制, 减弱"
label," n.标签； 称标记，符号； [建] 门或窗户上面的线脚
vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪"
endorse, vt. 背书；认可；签署；赞同；在背面签名
welter," vi. 翻滚；沉溺；起伏
n. 混乱；翻滚；起伏
adj. 重量级骑手的"
boom," n. 繁荣,低沉声,帆杠,水栅
vi. 发出低沉声,急速增长
vt. 回响,急速增加,有力地击打"
flipper, n. 鳍状肢，潜水用橡皮制鳍状肢
antisocial," adj. 非社交的, 不擅社交的, 反社会的"
synthesize, v. 合成
minimize," v. 将...减到最少
[计算机] 最小化"
circumvent," vt. 围住,绕行,用计谋应付"
ultraviolet," adj. 紫外线的
n.紫外线"
locale," n. 现场, 场所"
apportion," v. 分配, 分摊, 分派"
stylized, adj.程式化的； 格式化的；非写实的；有艺术效果的
discernment," n. 眼光, 洞察力"
rivalry," n. 敌对,竞争,对抗"
effectively," adv. 事实上,有效地"
exceptional," adj. 例外的,异常的,特别的"
mitigate," v. 镇静,缓和,减轻
v. 缓和"
exclusive," adj. 独占的, 唯一的, 排外的; 高价的, 时髦的
[计算机] 互斥的
n. 独家新闻, 独权"
landmark," n. 陆标, 划时代的事, 地界标"
arbiter," n. 仲裁人,裁决者,公断人"
quasi," adj. 类似的, 外表的"
snap," v. 猛咬, 谩骂, 砰然关上, 拍摄, 崩塌，劈啪作响
n. 啪嗒声, 快镜头，突然释放
adj. 匆忙的，突然的
adv. 劈啪作响地"
subsidy," n. 补助金, 津贴"
islet, n. 小岛
banal," adj. 陈腐的, 平庸的"
sculpt," vt. 雕刻
n. 雕刻，雕塑，雕刻品，雕塑品"
impressionable, adj. 易受影响的
crucial," adj. 关键的,决定性的"
novelty," n. 新奇,新奇的事物,小装饰"
bacterium, n. 细菌
unrestrained," adj. 没有抑制的,无限制的,放纵的"
ballet, n. 芭蕾舞
intemperance, n. 无节制
assertive," adj. 断定的,过分自信的"
formality," n. 礼节,程序,拘谨"
ideological, adj. 意识形态的，思想上的
expectancy, n. 期待
teem," vi. 充满, 富于
vt. 把…倒空，倾泻"
exhibitionist, n. 喜欢出风头的人
trample," n. 踩踏
v. 践踏, 轻视"
tranquil," adj. 安静的,宁静的,稳定的,不变的"
blur," vt.& vi. 使...模糊,弄脏
n. 污点,模糊"
tenet," n. 教义, 信条; 原则, 宗旨."
optimal," adj. 最佳的, 最理想的"
incredulity," n. 不易相信, 深疑, 怀疑心"
compendium," n. 简要, 概略，提纲"
overwork," n. 过度操劳, 过度工作
v. 工作过度"
vapor, n. 蒸汽
topple," vt. 使倒塌
vi. 倒塌"
epidemic," n. 传染病, 流行病
adj. 流行的, 传染性的"
totality," n. 全部, 总数"
dismissal," n. 免职, 解雇"
overt," adj. 公开的, 明显的, 公然的"
scrutinize," n. 详细检查, 细读
v. 仔细检查
vt. 细察"
occultation, n. 掩蔽，掩星现象
jocular, adj. 好笑的，滑稽的，诙谐的
interactive," adj. 相互作用的
[计算机] 交互的"
initiative," adj. 创始的, 初步的, 自发的
n. 第一步, 首创精神; 主动权"
theorize, v. 推理，建立理论，（使）理论化
bishop," n. 主教
n. （国际象棋中的）象"
trepidation," n. 恐惧, 惊惶, 忧虑"
symbolic," n. 代号
adj. 象征的, 符号的"
unmoved," adj. 坚定的, 无动于衷的"
pathogenic, adj. 致病的
advancement," n. 前进, 进步"
banality," n. 平凡, 陈腐, 陈腐之物"
eccentricity," n. 古怪, 古怪的行为, 怪癖"
distinguishable, adj. 可区别的，可辨别的
persevere," v. 坚持, 孜孜不倦, 不屈不挠"
lawsuit," n. 诉讼, 控诉"
broaden," v. 变宽, 伸广"
vocation," n. 职业,行业,职务"
secrecy," n. 秘密，保密, 隐蔽"
garrison," n. 守备队,驻军,要塞
v. 守备队,派兵驻守,使当守备队镇守"
austere," adj. 严峻的, 严格的，简朴的，禁欲的，苦行的"
inhalation," n. 吸入, 吸入药剂"
gravel," n. 碎石
v. 铺碎石, 使困惑"
germinate," v. 发芽, 萌芽, 开始发育
v. 使发芽, 使发达"
aberration, n. 失常
recant," vt. 放弃主张(撤销,改变,公开认错)"
discredit," vt. 使...不可信, 怀疑, 损害...的信用
n. 失信, 怀疑, 不信任"
circumspect," adj. 细心的, 慎重的"
posthumous, adj. 死后的；遗腹的；作者死后出版的
guitar," n. 吉他
vi. 弹吉他"
modicum, n. 少量，一小份
counterargument," n. 辩论, 抗辩"
astronomical, adj. 天文学的，巨大的
coerce, vt. 强制，迫使，威胁
copyright," adj. 版权(的)
n. 版权,著作权"
intricate," adj. 复杂的,错综的,缠结的,难懂的"
cognizant," adj. 已认识, 既知道, 晓得"
automotive," adj. 汽车的,机动的,自驱推进的"
joyous," adj. 充满快乐的, 使人高兴的"
perfunctory," adj. 草率的, 敷衍的"
microorganism, n. 微生物
detector, n. 探测器
presumptuous," adj. 放肆的,冒昧的,冒失的"
reaper,"n. 收割者, 收割机"
mistrust," n. 不信任, 疑惑
v. 不信任, 疑惑"
machinery," n. (总称)机器, 机械"
prohibition," n. 禁止，禁令
Prohibition：禁酒"
conclusive," adj. 决定性的, 确实的, 最后的"
ethnocentrism, n. 民族优越感
gouge," n. 圆凿, 沟, 以圆凿刨
v. 用圆凿子削除, 挖出, 欺骗"
momentum," n. 动力,要素, 势头,（物理）动量"
proton, n. 质子
blockade," n. 阻塞，封锁，阻碍物
v. 封锁，挡住"
seduce," vt. 怂恿,瞒骗,引诱"
enigma, n. 费解的事情，谜，谜一般的人
universality," n. 普遍性, 一般性"
abolition," n. 废除, 废止"
abolitionist," n. 废除主义者, 废奴主义者"
setback," n. 顿挫,挫折,退步"
credulity," n. 轻信, 易信"
motif," n. 主题, 意念, 动机"
melodious," adj. 旋律美妙的, 调子优美的, 音乐性的"
quiescent," adj. 静止的,不活动的,寂静的"
milligram, n. 毫克
abstain," v. 自制, 戒绝"
nobly," adv. 崇高地, 尊贵地"
pictorial," adj. 绘画的
n. 画报"
sociability," n. 社交性, 好交际, 善于交际"
compliment," n. 称赞,恭维,(复数)致意
vt. 称赞,恭维"
comprehend," vt. 充分理解(综合,包含)"
invulnerable," adj. 固若金汤的, 无法伤害的"
resell, v. 再卖，转售
constituent," n. 成份,选民,构成物
adj. 构成的,组织的,有提名权的"
navigator, n. 航海家，领航员
nonconformity, n. 不遵从(传统)
polarize," vt. 极化(使...偏振化,使...两极分化)"
enjoyable," adj. 有趣的, 愉快的"
nonexistent, adj. 不存在的
adduce," vt. 引证, 举出"
subtraction," n. 减法, 减去"
debris," n. 碎片, 残骸"
mechanize," vt. 使机械化, 用机械操作"
ethos, n. 民族精神，道德风貌，思潮信仰
indomitable, adj. 不屈不挠的
indulgent," adj. 纵容的, 任性的, 宽纵的"
testimony," n. 证言,证据"
unequal," adj. 不相等的, 不平等的"
retract," vt. 缩进(拉回,退回,取消)
n. 收缩核"
unfocused, adj. 未聚焦的
orb," n. 球, 天体
vt. 弄圆, 成球形
vi."
criterion," n. 标准, 准则"
usefulness, n. 有用(有效率)
commune," n. 公社
vi. 交换思想、意见或感受, 交流"
undermine," vt. 暗中损害, 逐渐削弱, 在(某物)下挖洞或挖通道, 从根基处损害"
intercourse, n. 性交；交往；交流
vegetarian," n. 素食者
adj. 素食的"
mobility," n. 可动性, 变动性, 情感不定"
recombine," v.再结合,重组"
disillusion," n. 觉醒，幻灭
vt. 醒悟，使幻想破灭"
therapy," n. 疗法,治疗"
disrupt," adj. 分裂的,分散的
v. 使...分裂,使...瓦解"
platinum," n. 白金
adj. 白金的"
despondent," adj. 沮丧的, 没有精神的"
denial," n. 否认,拒绝"
allegation," n. 断言,主张,辩解,暗指"
hiatus," n. 空隙, 裂缝，间断，停顿"
appreciative," adj. 有鉴识力的, 感激的"
anarchy," n. 无政府状态, 混乱"
carnivorous, adj. 食肉的，（植物）食虫的
notch," n. 刻痕,等级,峡谷
vt. 刻凹痕,用刻痕计算,计分"
disequilibrium," n. 不均衡, 不安定"
bacterial, adj. 细菌的
silicon, n. 硅
adherent," n. 信徒, 追随者, 拥护者
adj. 附着的, 粘连的"
disability," n. 无力, 无能, 残疾"
stultify," vt. 使...显得荒谬可笑(使...无价值,使...无效)"
inhibition," n. 禁止, 禁制, 压抑"
fixation," n. 定置, 固定, 定色, [心理]固恋"
fad," n. 时尚, 一时流行的狂热"
serene," adj. 安详的,宁静的,平静的"
depiction, n. 描述，描画
metrics," n. 韵律学
n. 度量学"
celebratory, adj. 庆祝的
subsidize," v. 给与补助金,给与奖助金,贿赂"
distinctly," adv. 清楚地，显然地, 明显地"
subsume," v. 包含,包容
vt. 包含"
pedantry, n. 迂腐，拘泥于形式，卖弄学问
immature, adj. 不成熟的
predictable, adj. 可预言的
severity," n. 严格, 严重, 激烈"
humility," n. 谦逊, 谦虚, 谦卑"
amorphous," adj. 无定形的, 无组织的，非结晶的"
reappearance," n. 再现, 再发"
intimation," n. 暗示, 通知"
charismatic, adj. 有魅力的
hyperbole, n. 夸张法
childless, adj. 无儿女的
happily," adv. 幸福地, 快乐地, 幸好
形容词happy的副词形式"
fledged," adj. 羽毛长成的, 成熟的
动词fledge的过去式和过去分词"
venom," n. 毒液,恶意"
starry," adj. 星光照耀的, 闪亮的"
antiquated," adj. 陈旧的, 过时的，年老的
动词antiquate的过去式和过去分词"
stout," n. 烈啤酒
adj. 强壮的, 稳重的, 肥胖的"
elevation," n. 提拔，海拔,提高
[计算机] 标高"
diffusion," n. 散布, 传播, 蔓延"
defeatism, n. 失败主义
aristocrat, n. 贵族，有贵族气派的人，最优秀者
emulate," vt. 效法, 尽力赶上, 仿真
[计算机] 仿真"
metallic, adj. 金属的
marital, adj. 婚姻的
mighty," adj. 强有力的,极度的
adv. 很"
rocky," adj. 岩石的, 像岩石的，坚硬的，麻木的"
seizure, n. 没收；夺取；捕获；（疾病的）突然发作
disabuse," vt. 解惑, 使省悟"
suicide," n.自杀； 自杀者； 自杀行为
vt.自杀
adj.自杀的"
entail," vt. 使必需,使蒙受;限定继承
n. 限定继承权"
misfortune," n. 不幸, 灾祸"
stark," adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
alteration," n. 改变, 变更"
modification," n. 修正, 修饰, 修改"
discomfit," vt. 使懊恼，挫败，征服
n. 挫败"
chaos, n. 混乱
flawed," adj. 有裂纹的, 有瑕疵的，有缺陷的"
untrustworthy, adj. 不能信赖的，靠不住的
coincidence," adj. 同时发生的
n. 巧合"
appendix," n. 附录,阑尾"
supernatural," adj. 超自然的, 神奇的"
musically," adv. 好听地, 悦耳地, 在音乐方面"
imperturbable," adj. 沉着的, 泰然自若的, 镇静的"
perceptible," adj. 可察觉的, 能感觉得到的, 看得见的"
terrorize," v. 令人恐怖, 实施恐怖统治"
sidestep," v. 向旁侧避让, 回避"
particularity," n. 特异性, 特质, 细目
n. 过分讲究，挑剔，苛刻"
mirage," n. 海市蜃楼, 幻想"
folktale, n. 民间故事
brushwork," n. 绘画, 笔法, 画法"
grin," v. 露齿而笑，咧着嘴笑
n. 露齿笑"
vitiate," vt. 使败坏, 损害, 使失效"
tilt," vi. 倾斜；翘起；以言词或文字抨击
vt. 使倾斜；使翘起
n. 倾斜"
interconnection, n. 互相连络
offensive," adj. 令人不快的,侮辱的,攻击用的
n. 进攻"
offset," n. 抵销,支派,平版印刷,弯管
vt. 弥补,抵销,用平版印刷
vi. 形成分支"
diplomat, n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
biochemistry, n. 生物化学
priesthood," n. 神职, 僧职, 祭司职"
obtuse," adj. 钝的, 不尖的, 圆头的"
mandate," n. 命令, 指令, 要求，托管地
vt. 把(某一地区)置于委任管理下"
flux," n. 流出,流量,涨潮,变迁,助熔剂
vt. 使熔化,使泻,涨
vi. 熔化"
playful, adj. 爱玩耍的，幽默的
reciprocation," n. 报答, 互换, 往复运动"
mannerism, n. 特殊习惯；矫揉造作；怪癖
inhere, vi. 固有，原有，属于
eject," vt.喷出； 驱逐； 强制离开
vi.弹射出"
toxic," adj. 有毒的
n. 有毒物质"
tract," n. 广阔的土地,地域,器官系统,宣传小册子"
purchaser," n. 买方, 购买者"
paramount," adj. 极为重要的
Paramount. 派拉蒙(美电影公司)"
favorable," adj. 有利的,赞许的,良好的,顺利的,偏袒的"
seriousness," n. 严肃, 认真"
stunted," adj.成长受了妨碍的,矮小的
动词stunt的过去式和过去分词形式"
trenchant," adj. 锐利的, 尖刻的, 苛刻的，清晰的"
forestall," vt. 领先, 占先一步, 先发制人"
pedestrian," adj. 徒步的,缺乏想像的
n. 行人"
shoddy," n. 次品，劣质产品
adj. 劣质的"
administrator," n. 管理人,行政官"
biblical, adj. 圣经的
protestation," n. 断言, 声明，抗议"
vicious," adj. 恶毒的, 恶意的, 凶残的, 剧烈的, 严重的"
laborer," n. 劳动者, 劳工
=labourer（英）"
brightness," n. 光亮, 明亮, 聪明"
metalloid," adj. 像金属的, 非金属的, 类似金属性的
=metalloidal
n. 非金属, 类似金属, 两性金属"
carnivore, n. 食肉动物
edification," n. 陶冶, 教诲，启迪"
debase," v. 贬低, 贬损，（使货币）贬值"
phlegmatic," adj. 冷静的, 冷淡的"
misunderstanding," n. 误会, 误解
misunderstand的现在分词"
ingest, v. 摄取，咽下
internationalism," n. 国际主义, 国际性"
athletic," adj. 运动的,活跃的,健壮的"
variant," n. 变体
adj. 不同的"
cane," n. 手杖,细长的茎,藤条
vt. 以杖击,以藤编制的"
imperialism, n. 帝国主义
penultimate, adj. 倒数第二的
overreact, vt. 反应过度(反作用过强)
rationale," n. 基本原理(理论基础的说明,原理的阐述)"
allay," v. 使...镇静, 使...缓和"
percolate," v. (使)过滤，(使)渗透
n. 渗出液"
coherence," n. 粘附(附着, 结合, 凝聚, 相参性, 同调, 连贯性)"
storytelling, n. 说书，讲故事
pretentious," adj. 自负的, 自命不凡的，炫耀的"
misconception," n. 误解, 错误想法"
histrionic, adj.做作的； 过分戏剧化的； 不自然的； <文>表演的
circulation," n. 流通,循环,发行量,消息传播"
undercut," v. 削弱，廉价出售或工作, 从下边切
n. （牛的）嫩腰肉, 下部切割，切口, 切球"
consanguinity," n. 血缘, 血亲, 同族"
propaganda," n. 宣传, 宣传的内容"
perpetuate," vt. 使永存,使不朽"
client, n.顾客； 当事人； 诉讼委托人； [计算机]客户端
undue," adj. 过分的, 不适当的"
compatriot," n. 同国人
adj. 同国的, 同胞的"
reconsider," v. 重新考虑, 再斟酌"
fearsome, adj. 吓人的，可怕的，害怕的
hoard," v.&amp;n. 贮藏,秘藏
vt. 贮藏"
affectation," n. 假装, 虚饰, 做作"
heartless," adj. 无情的, 残酷的
adj."
dualism," n.二元论,双重性"
alkaloid," n. [生化]生物碱, 植物碱基"
conspiracy, n. 阴谋
distinctive," adj. 有特色的,出众的"
quantify," v. 定量, 表示份量, 称量, 量化"
prudery," n. 过分守礼, 假正经"
ensemble," n. 全体, 合唱曲, 女人的全套服装"
tangible," adj. 有形的, 可触摸的, 确凿的, 实际的"
raisin, n. 葡萄干
chimpanzee, n. 黑猩猩
illiterate," adj. 文盲的, 无知的
n. 文盲"
overemphasize, v. 过分强调
illegitimate," adj. 不法的,非嫡出的,庶生的
n. 非嫡出子,庶子
v. 认为违法,认做私生子"
carbonate," n. 碳酸盐，黑金刚石
vt. 使碳化"
amid," prep. 在其间,在其中"
imminent," adj. 逼近的, 即将发生的"
covet," v. 妄想, 垂涎, 贪"
inadvertently, adv. 不注意地
pseudoscience, n. 假科学，伪科学
publicity," n. 公众的注意,宣传,宣扬,宣传品,广告"
culminate," v. 达到顶点或高潮, 以...告终
vi. 达到顶点
vt. 使达高潮, 使结束"
myriad," adj. 无数的
n. 极大数量"
acquiescent," adj. 默许的, 默认的, 默从的"
consequent," adj. 作为结果的, 随之发生的，合乎逻辑的
n. 推论，结论，[数]后项"
prodigious," adj. 巨大的,奇异的
n. 奇迹"
cult," n. 宗教膜拜仪式,异教,狂热崇拜,个人崇拜"
rhetoric," n. 修辞, 华丽虚饰的语言, 修辞学"
unshakable, adj. 不可动摇的
hamster, n. 仓鼠
yearn," v. 渴望, 想念"
repellent," adj. 排斥的(防水的, 弹回的)
n. 排斥力(防水布, 防护剂)"
daunt, vt. 恐吓(使...胆怯)
inherent," adj. 内在的, 固有的"
resilient," adj. 弹回的,有弹力的,愉快的"
repudiation," n. 拒绝,否认,拒付"
defiance, n. 蔑视，挑战，挑衅
disavow," v. 否认,否定,抵赖"
promoter," n. 促进者, 发起人，助催化剂，启动区"
resilience," n. 跳回(回弹,弹力,弹性变形,冲击值)"
infuriate," adj. 狂怒的
v. 激怒"
delinquent," n. 行为不良的人, 流氓
adj. 怠忽的, 有过失的"
resplendent," adj. 辉煌的, 灿烂的"
sculpture," n. 雕塑
vt. 雕刻,雕塑
vi. 当雕刻师"
restive, adj. 焦躁不安的；难以驾驭的，不受管束的
qualm," n. 疑惧, 紧张不安"
Yankee," n. 美国公民, 美国佬"
invariably," adv. 不变化地, 一定不变地, 常常地"
defensive," adj. 防卫的, 防备用的, 辩护的
n. 守势, 防卫姿势, 防卫物"
inefficiency," n. 无效率, 无能"
ecclesiastical," adj. 基督教会的, 教士的"
herbicide, n. 除草剂
derisive, adj. 嘲弄的
visionary," adj. 幻影的, 幻想的,有远见卓识的
n. 空想家, 梦想者，预言家"
ageless, adj. 不老的，永恒的
insistent," adj. 坚持的, 迫切的"
caste," n. 印度的世袭阶级, (排他的)社会团体"
inability," n. 无能,无力"
detachment, n. 分离，分遣，冷漠，公正
deposition," n. 沉积作用(沉积物, 矿床)； <律>(在法庭上的)宣誓作证;证词,证言"
exodus," n. 大批的离去
Exodus：（《圣经·旧约》中的）出埃及记"
inure, v. 使...习惯
diseased," adj.不健全的,害病的,病态的&lt;br /&gt;动词disease的过去式和过去分词形式"
revitalize," v. 使复活, 使重新充满活力
vt. 使复兴, 使苏醒, 使复活, 使恢复"
pacifism, n. 和平主义，反战论
ambiguous, adj. 模棱两可的
simultaneous," adj. 同时发生的,同步的"
centimeter, n. 厘米，公分
criminality, n. 犯罪，有罪，犯罪行为
piecework, n. 计件工作
oration," n. 演说, 致辞, 叙述法"
diminish," vt. 减少,变小, 减损
vi. 变少, 逐渐变细"
righteous," adj. 公正的, 公义的, 当然的"
embarrassment, n. 困窘，尴尬，困难
experimentally," adv. 实验上, 实验性地"
ceaseless," adj. 不绝的, 不停的"
dramatize," vt. 把(小说等)改编成戏剧, 渲染
vi. 戏剧化"
electromagnetic, adj. 电磁的
environmentalist, n. 环保人士，环境论者
pianola, n. 自动钢琴
censorship, n. 检查制度
derivative," adj. 引出的,系出的
n. 引出之物,系出物,衍生字
n. 导数, 微商"
elegance," n. 高雅, 典雅, 优雅，简洁
n. 雅致的物品"
equate," v. 同等看待, 使相等
vt. 等同, 使相等"
wilderness," n. 荒野, 荒地"
legendary," adj. 传说的, 富有传奇色彩的, 传奇的"
uncommon," adj. 不寻常的,不凡的,罕有的
adv. 非常地"
contravene," vt. 违反(同...相抵触,否定)"
wilt," v. （使)枯萎,（使)萎靡
n. 枯萎，憔悴"
innate," adj. 天生的,固有的"
intricacy," n. 纷乱, 复杂, 错综"
specification," n. 规格,详述,详细说明书"
adjustment, n. 调整
deterrent," adj. 制止, 防止, 挽留
n. 挽留的事物, 妨碍物"
characterization, n. 描绘、刻画
biochemist, n. 生物化学家
tubule, n. 小管，细管
intent," n. 意图,目的,意向, 含义
adj. 专心的,决心的,热心的"
fend, v. 照料，挡开，努力，[英口]供养
apathy," n. 缺乏感情或兴趣,冷漠"
soar," n. 高扬
vi. 往上飞舞,高耸,滑翔"
ongoing," adj. 前进的,进行的
n. 前进,举止,行为"
apparently," adj. 显然,似乎
adv. 显然"
unctuous, adj. 油腔滑调的，油的
straightforward," adj. 笔直的, 率直的"
nonstandard, adj. 不标准的
aptitude," n. 才能,资质"
fictional," adj. 虚构的, 编造的, 小说式的"
albumin," n. 蛋白质, 蛋白素"
problematical," adj. 成问题的，有疑问的，未知的
=problematic"
arrogant," adj. 傲慢的, 自大的"
stamina, n. 持久力;耐力;毅力
repetitive, adj. 重复的
allowance," n. 限额，定量
n. 津贴,零用钱"
superiority," n. 优越性, 优势"
fossilize," vt. 使成化石，使陈腐
vi. 变成化石，变陈腐，固定化"
transferable, adj. 可转移的，可转让的
capsule," n. 荚膜, 胶囊, 简缩, 太空舱
vt. 装入胶囊, 简缩, 概括
adj. 精简的, 小巧的"
publisher," n. 出版者, 发行人"
equivalence," n. 相等, 等值"
disrespectful," adj. 无礼的, 不尊敬的"
privately, adv. 私下地，秘密地
discrete," adj. 不连续的 离散的
[计算机] 分离 离散"
schematize, v. 扼要表示
lyricism, n. 抒情诗体，抒情味，感情冲动，情绪高涨
stringent," adj. 严格的, (银根)紧缩的, 变紧的"
ethnic," adj. 民族的，种族的，有民族特色的
n. 少数民族的一员"
